Año,Aerolinea,Mes,Pasajeros
2013,Aeroméxico Connect (Aerolitoral),1,463942
2013,Aeroméxico (Aerovías de México),1,357356
2013,Volaris (Concesionaria Vuela Cia de Aviación),1,526963
2013,Vivaaerobus (Aeroenlaces),1,284034
2013,Magnicharters (Grupo Aéreo Monterrey),1,53363
2013,Aeromar,1,39873
2014,Aéreo Calafia,1,0
2014,Aeromar,1,35120
2014,Aeroméxico (Aerovías de México),1,424785
2014,Aeroméxico Connect (Aerolitoral),1,544041
2014,Interjet (ABC Aerolíneas),1,584459
2014,Magnicharters (Grupo Aéreo Monterrey),1,47063
2014,Transportes Aéreos Regionales (TAR),1,0
2014,Vivaaerobus (Aeroenlaces),1,280642
2014,Volaris (Concesionaria Vuela Cia de Aviación),1,625446
2015,Aéreo Calafia,1,6327
2015,Aeromar,1,35673
2015,Aeroméxico (Aerovías de México),1,414443
2015,Aeroméxico Connect (Aerolitoral),1,564172
2015,Interjet (ABC Aerolíneas),1,608507
2015,Magnicharters (Grupo Aéreo Monterrey),1,69597
2015,Transportes Aéreos Regionales (TAR),1,15632
2015,Vivaaerobus (Aeroenlaces),1,310806
2015,Volaris (Concesionaria Vuela Cia de Aviación),1,686691
2016,Aéreo Calafia,1,12697
2016,Aeromar,1,40422
2016,Aeroméxico (Aerovías de México),1,386743
2016,Aeroméxico Connect (Aerolitoral),1,574462
2016,Interjet (ABC Aerolíneas),1,671459
2016,Magnicharters (Grupo Aéreo Monterrey),1,56307
2016,Transportes Aéreos Regionales (TAR),1,40876
2016,Vivaaerobus (Aeroenlaces),1,369434
2016,Volaris (Concesionaria Vuela Cia de Aviación),1,900246
2017,Aéreo Calafia,1,14324
2017,Aeromar,1,44926
2017,Aeroméxico (Aerovías de México),1,446306
2017,Aeroméxico Connect (Aerolitoral),1,600210
2017,Interjet (ABC Aerolíneas),1,716887
2017,Magnicharters (Grupo Aéreo Monterrey),1,53645
2017,Transportes Aéreos Regionales (TAR),1,48066
2017,Vivaaerobus (Aeroenlaces),1,533459
2017,Volaris (Concesionaria Vuela Cia de Aviación),1,1100538
2018,Aéreo Calafia,1,24734
2018,Aeromar,1,59653
2018,Aeroméxico (Aerovías de México),1,434943
2018,Aeroméxico Connect (Aerolitoral),1,662976
2018,Interjet (ABC Aerolíneas),1,780337
2018,Magnicharters (Grupo Aéreo Monterrey),1,55290
2018,Transportes Aéreos Regionales (TAR),1,47772
2018,Vivaaerobus (Aeroenlaces),1,639443
2018,Volaris (Concesionaria Vuela Cia de Aviación),1,1069272
2019,Aéreo Calafia,1,24399
2019,Aeromar,1,58031
2019,Aeroméxico (Aerovías de México),1,446823
2019,Aeroméxico Connect (Aerolitoral),1,611869
2019,Interjet (ABC Aerolíneas),1,766225
2019,Magnicharters (Grupo Aéreo Monterrey),1,45885
2019,Transportes Aéreos Regionales (TAR),1,45704
2019,Vivaaerobus (Aeroenlaces),1,755742
2019,Volaris (Concesionaria Vuela Cia de Aviación),1,1234660
2020,Aéreo Calafia,1,13840
2020,Aeromar,1,66557
2020,Aeroméxico (Aerovías de México),1,442909
2020,Aeroméxico Connect (Aerolitoral),1,588115
2020,Interjet (ABC Aerolíneas),1,874053
2020,Magnicharters (Grupo Aéreo Monterrey),1,47575
2020,Transportes Aéreos Regionales (TAR),1,40620
2020,Vivaaerobus (Aeroenlaces),1,919635
2020,Volaris (Concesionaria Vuela Cia de Aviación),1,1440399
2021,Volaris (Concesionaria Vuela Cia de Aviación),1,1094457
2021,Vivaaerobus (Aeroenlaces),1,702073
2021,Aeroméxico (Aerovías de México),1,454768
2021,Aeroméxico Connect (Aerolitoral),1,387635
2021,Magnicharters (Grupo Aéreo Monterrey),1,19413
2021,Aeromar,1,23787
2021,Transportes Aéreos Regionales (TAR),1,13791
2021,Aéreo Calafia,1,7181
2022,Volaris (Concesionaria Vuela Cia de Aviación),1,1704541
2022,Vivaaerobus (Aeroenlaces),1,1173978
2022,Aeroméxico (Aerovías de México),1,476869
2022,Aeroméxico Connect (Aerolitoral),1,350478
2022,Aeromar,1,31540
2022,Magnicharters (Grupo Aéreo Monterrey),1,19731
2022,Transportes Aéreos Regionales (TAR),1,22335
2022,Aéreo Calafia,1,10351
2023,Volaris (Concesionaria Vuela Cia de Aviación),1,2086128
2023,Vivaaerobus (Aeroenlaces),1,1472333
2023,Aeroméxico (Aerovías de México),1,903296
2023,Aeroméxico Connect (Aerolitoral),1,445498
2023,Magnicharters (Grupo Aéreo Monterrey),1,15438
2023,Transportes Aéreos Regionales (TAR),1,23680
2023,Aéreo Calafia,1,9895
2023,Aeromar,1,22711
2023,Aerus,1,0
1992,Aeroméxico (Aerovías de México),2,428738
1992,Mexicana (Mexicana de Aviación),2,391249
1992,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",2,22540
1992,Aerocalifornia,2,43378
1992,Aviacsa (Consorcio Aviaxsa),2,21556
1992,Servicios Aereos Rutas Oriente  (S.A.R.O),2,21581
1992,Aerovías Caribe S.A  de C.V,2,17464
1992,Aeromar,2,15000
1992,Aviación del Noroeste S.A de C.V,2,15021
1992,Aerocozumel,2,9837
1992,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,2,2637
1992,Aerovías de Poniente S.A de C.V,2,489
1992,Aero Sudpacifico S.A.,2,2128
1992,Aeromonterrey,2,3591
1992,Aerolineas Morelos S.A (Aeromorelos),2,1382
1992,Transportes Aéreos  Gane S.A  de C.V,2,865
1992,Servicio Aéreo Leo López S.A. de C.V,2,362
1993,Aero Sudpacifico S.A.,2,2049
1993,Aerocalifornia,2,53883
1993,Aerocozumel,2,16211
1993,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,2,17815
1993,Aeromar,2,19084
1993,Aeromonterrey,2,1190
1993,Aerolineas Morelos S.A (Aeromorelos),2,2202
1993,Aerovías Caribe S.A  de C.V,2,17464
1993,Aeroméxico (Aerovías de México),2,441569
1993,Aerovías de Poniente S.A de C.V,2,15907
1993,Aviación del Noroeste S.A de C.V,2,15964
1993,Aviacsa (Consorcio Aviaxsa),2,29198
1993,Mexicana (Mexicana de Aviación),2,336322
1993,"Pal Aerolineas, S.A. de C.V.",2,0
1993,Servicios Aereos Rutas Oriente  (S.A.R.O),2,38599
1993,Servicio Aéreo Leo López S.A. de C.V,2,411
1993,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",2,52226
1993,Transportes Aéreos  Gane S.A  de C.V,2,266
1994,Aero Sudpacifico S.A.,2,1570
1994,Aerocalifornia,2,51951
1994,Aerocozumel,2,17984
1994,Aeroejecutivo S.A de C.V ,2,0
1994,Aerolineas Internacionales,2,0
1994,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,2,15496
1994,Aeromar,2,24590
1994,Aerolineas Morelos S.A (Aeromorelos),2,2022
1994,Aerovías Caribe S.A  de C.V,2,17524
1994,Aeroméxico (Aerovías de México),2,530074
1994,Aerovías de Poniente S.A de C.V,2,22634
1994,Aviación del Noroeste S.A de C.V,2,10711
1994,Aviacsa (Consorcio Aviaxsa),2,28946
1994,Lineas Aereas Allegro,2,0
1994,Mexicana (Mexicana de Aviación),2,377976
1994,"Pal Aerolineas, S.A. de C.V.",2,2276
1994,Servicios Aereos Rutas Oriente  (S.A.R.O),2,39920
1994,Servicio Aéreo Leo López S.A. de C.V,2,145
1994,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",2,101743
1994,Transportes Aéreos  Gane S.A  de C.V,2,0
1995,Aero Sudpacifico S.A.,2,2261
1995,Aerocalifornia,2,55790
1995,Aerocozumel,2,15879
1995,Aeroejecutivo S.A de C.V ,2,12548
1995,Aerolineas Internacionales,2,8733
1995,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,2,31990
1995,Aeromar,2,19117
1995,Aerolineas Morelos S.A (Aeromorelos),2,2001
1995,Aerovías Caribe S.A  de C.V,2,24304
1995,Aeroméxico (Aerovías de México),2,412986
1995,Aviación del Noroeste S.A de C.V,2,4172
1995,Aviacsa (Consorcio Aviaxsa),2,43456
1995,Lineas Aereas Allegro,2,1511
1995,Mexicana (Mexicana de Aviación),2,326111
1995,"Pal Aerolineas, S.A. de C.V.",2,0
1995,Servicios Aereos Rutas Oriente  (S.A.R.O),2,0
1995,Servicio Aéreo Leo López S.A. de C.V,2,0
1995,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",2,131055
